POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
7-MGN-14-BA,Petrobras,BA,Recôncavo,MIRANGA NORTE,T,Desenvolvimento,ARRASADO,12/9/76 0:00,Público
9-MG-236-BA,Petrobras,BA,Recôncavo,MIRANGA,T,Especial,ABANDONADO PERMANENTEMENTE,10/9/76 0:00,Público
3-SUS-3-BA,Petrobras,BA,Recôncavo,SUSSUARANA,T,Extensão,ARRASADO,2/15/77 0:00,Público
7-FI-45-BA,Petrobras,BA,Recôncavo,FAZENDA IMBÉ,T,Desenvolvimento,PRODUZINDO,1/27/77 0:00,Público
7-AR-144-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Desenvolvimento,ARRASADO,3/20/77 0:00,Público
3-C-178-BA,Petrobras,BA,Recôncavo,CANDEIAS,T,Extensão,ABANDONADO PERMANENTEMENTE,2/7/77 0:00,Público
7-CS-38D-BA,Petrobras,BA,Recôncavo,CASSARONGONGO,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,3/31/80 0:00,Público
7-SUS-8-BA,Petrobras,BA,Recôncavo,SUSSUARANA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,5/12/80 0:00,Público
4-AR-157-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,10/28/80 0:00,Público
7-C-193-BA,Petrobras,BA,Recôncavo,CANDEIAS,T,Desenvolvimento,ARRASADO,6/7/80 0:00,Público
7-I-56-BA,Petrobras,BA,Recôncavo,ITAPARICA ,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,6/8/80 0:00,Público
7-C-194-BA,Petrobras,BA,Recôncavo,CANDEIAS,T,Desenvolvimento,ARRASADO,6/26/80 0:00,Público
7-I-56DA-BA,Petrobras,BA,Recôncavo,ITAPARICA ,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,6/29/80 0:00,Público
1-RJS-28-RJ,Trident Energy,RJ,Campos,BICUDO,M,Pioneiro,ABANDONADO PERMANENTEMENTE,6/24/76 0:00,Público
1-RJS-31-RJS,Petrobras,RJ,Campos,GAROUPA,M,Pioneiro,ABANDONADO PERMANENTEMENTE,8/24/76 0:00,Público
7-GP-5-RJS,Petrobras,RJ,Campos,GAROUPA,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,7/21/76 0:00,Público
4-RJS-139-RJS,Trident Energy,RJ,Campos,LINGUADO,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,10/15/80 0:00,Público
